Analog output scaling is 0.1 Volts/unit of measurement.
[ 1:55:00.031 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:28.077
[ 1:55:00.153 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:28.185
[ 1:55:00.256 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:28.293
[ 1:55:00.369 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:28.401
[ 1:55:00.470 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:28.509
[ 1:55:00.583 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:28.618
[ 1:55:00.687 PM] Pressure: -80.63,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:28.726
[ 1:55:00.799 PM] Pressure: -80.63,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:28.834
[ 1:55:00.900 PM] Pressure: -80.63,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:28.942
[ 1:55:01.025 PM] Pressure: -80.63,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:29.049
[ 1:55:01.116 PM] Pressure: -80.63,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:29.157
[ 1:55:01.239 PM] Pressure: -80.57,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:29.265
[ 1:55:01.330 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:29.373
[ 1:55:01.454 PM] Pressure: -80.63,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:29.482
[ 1:55:01.556 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:29.590
[ 1:55:01.679 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:29.698
[ 1:55:01.791 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:29.816
[ 1:55:01.894 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:29.925
[ 1:55:02.007 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:30.032
[ 1:55:02.108 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:30.140
[ 1:55:02.233 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:30.248
[ 1:55:02.324 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:30.357
[ 1:55:02.448 PM] Pressure: -80.63,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:30.465
[ 1:55:02.551 PM] Pressure: -80.63,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:30.573
[ 1:55:02.651 PM] Pressure: -80.57,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:30.682
[ 1:55:02.764 PM] Pressure: -80.57,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:30.790
[ 1:55:02.866 PM] Pressure: -80.51,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:30.898
[ 1:55:02.990 PM] Pressure: -80.57,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:31.006
[ 1:55:03.079 PM] Pressure: -80.51,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:31.114
[ 1:55:03.202 PM] Pressure: -80.51,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:31.222
[ 1:55:03.304 PM] Pressure: -80.51,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:31.330
[ 1:55:03.416 PM] Pressure: -80.57,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:31.439
