Analog output scaling is 0.1 Volts/unit of measurement.
[11:07:52.928 AM] Pressure: -47.35,  Volume: 1.04, Battery: 0.56, Timestamp: 01:00:56.246
[11:07:53.041 AM] Pressure: -47.35,  Volume: 1.04, Battery: 0.56, Timestamp: 01:00:56.354
[11:07:53.144 AM] Pressure: -47.24,  Volume: 1.04, Battery: 0.56, Timestamp: 01:00:56.463
[11:07:53.267 AM] Pressure: -47.24,  Volume: 1.04, Battery: 0.56, Timestamp: 01:00:56.571
[11:07:53.358 AM] Pressure: -47.18,  Volume: 1.04, Battery: 0.56, Timestamp: 01:00:56.679
[11:07:53.483 AM] Pressure: -47.12,  Volume: 1.04, Battery: 0.56, Timestamp: 01:00:56.787
[11:07:53.575 AM] Pressure: -47.12,  Volume: 1.04, Battery: 0.56, Timestamp: 01:00:56.895
[11:07:53.699 AM] Pressure: -47.06,  Volume: 1.04, Battery: 0.56, Timestamp: 01:00:57.003
[11:07:53.791 AM] Pressure: -47.06,  Volume: 1.04, Battery: 0.56, Timestamp: 01:00:57.111
[11:07:53.914 AM] Pressure: -47.06,  Volume: 1.04, Battery: 0.56, Timestamp: 01:00:57.219
[11:07:54.016 AM] Pressure: -47.12,  Volume: 1.04, Battery: 0.56, Timestamp: 01:00:57.328
[11:07:54.130 AM] Pressure: -47.12,  Volume: 1.04, Battery: 0.56, Timestamp: 01:00:57.436
[11:07:54.232 AM] Pressure: -47.12,  Volume: 1.04, Battery: 0.56, Timestamp: 01:00:57.544
[11:07:54.344 AM] Pressure: -47.18,  Volume: 1.04, Battery: 0.56, Timestamp: 01:00:57.652
[11:07:54.446 AM] Pressure: -47.18,  Volume: 1.04, Battery: 0.56, Timestamp: 01:00:57.760
[11:07:54.570 AM] Pressure: -47.18,  Volume: 1.04, Battery: 0.56, Timestamp: 01:00:57.869
[11:07:54.670 AM] Pressure: -47.18,  Volume: 1.04, Battery: 0.56, Timestamp: 01:00:57.977
[11:07:54.781 AM] Pressure: -47.18,  Volume: 1.04, Battery: 0.56, Timestamp: 01:00:58.084
[11:07:54.906 AM] Pressure: -47.18,  Volume: 1.09, Battery: 0.56, Timestamp: 01:00:58.202
[11:07:55.008 AM] Pressure: -47.18,  Volume: 1.09, Battery: 0.56, Timestamp: 01:00:58.311
[11:07:55.119 AM] Pressure: -47.18,  Volume: 1.09, Battery: 0.56, Timestamp: 01:00:58.419
[11:07:55.220 AM] Pressure: -47.24,  Volume: 1.09, Battery: 0.56, Timestamp: 01:00:58.527
[11:07:55.343 AM] Pressure: -47.18,  Volume: 1.09, Battery: 0.56, Timestamp: 01:00:58.635
[11:07:55.442 AM] Pressure: -47.12,  Volume: 1.09, Battery: 0.56, Timestamp: 01:00:58.744
[11:07:55.553 AM] Pressure: -47.12,  Volume: 1.09, Battery: 0.56, Timestamp: 01:00:58.852
[11:07:55.655 AM] Pressure: -47.06,  Volume: 1.09, Battery: 0.56, Timestamp: 01:00:58.960
[11:07:55.777 AM] Pressure: -47.06,  Volume: 1.09, Battery: 0.56, Timestamp: 01:00:59.067
[11:07:55.869 AM] Pressure: -47.06,  Volume: 1.09, Battery: 0.56, Timestamp: 01:00:59.175
[11:07:55.991 AM] Pressure: -47.12,  Volume: 1.09, Battery: 0.56, Timestamp: 01:00:59.284
[11:07:56.093 AM] Pressure: -47.12,  Volume: 1.09, Battery: 0.56, Timestamp: 01:00:59.391
[11:07:56.193 AM] Pressure: -47.12,  Volume: 1.09, Battery: 0.56, Timestamp: 01:00:59.500
[11:07:56.306 AM] Pressure: -47.12,  Volume: 1.09, Battery: 0.56, Timestamp: 01:00:59.608
[11:07:56.430 AM] Pressure: -47.18,  Volume: 1.09, Battery: 0.56, Timestamp: 01:00:59.716
[11:07:56.531 AM] Pressure: -47.18,  Volume: 1.09, Battery: 0.56, Timestamp: 01:00:59.824
[11:07:56.642 AM] Pressure: -47.18,  Volume: 1.09, Battery: 0.56, Timestamp: 01:00:59.933
[11:07:56.744 AM] Pressure: -47.06,  Volume: 1.09, Battery: 0.56, Timestamp: 01:01:00.040
[11:07:56.846 AM] Pressure: -47.06,  Volume: 1.09, Battery: 0.56, Timestamp: 01:01:00.148
[11:07:56.958 AM] Pressure: -47.06,  Volume: 1.09, Battery: 0.56, Timestamp: 01:01:00.256
[11:07:57.082 AM] Pressure: -47.06,  Volume: 1.09, Battery: 0.56, Timestamp: 01:01:00.365
[11:07:57.183 AM] Pressure: -47.00,  Volume: 1.09, Battery: 0.56, Timestamp: 01:01:00.473
[11:07:57.294 AM] Pressure: -47.06,  Volume: 1.09, Battery: 0.56, Timestamp: 01:01:00.581
[11:07:57.398 AM] Pressure: -47.06,  Volume: 1.09, Battery: 0.56, Timestamp: 01:01:00.689
[11:07:57.520 AM] Pressure: -47.06,  Volume: 1.09, Battery: 0.56, Timestamp: 01:01:00.798
[11:07:57.609 AM] Pressure: -47.06,  Volume: 1.09, Battery: 0.56, Timestamp: 01:01:00.906
[11:07:57.731 AM] Pressure: -47.06,  Volume: 1.09, Battery: 0.56, Timestamp: 01:01:01.013
[11:07:57.832 AM] Pressure: -47.00,  Volume: 1.09, Battery: 0.56, Timestamp: 01:01:01.122
[11:07:57.934 AM] Pressure: -46.94,  Volume: 1.09, Battery: 0.56, Timestamp: 01:01:01.230
[11:07:58.045 AM] Pressure: -46.88,  Volume: 1.09, Battery: 0.56, Timestamp: 01:01:01.338
[11:07:58.166 AM] Pressure: -46.77,  Volume: 1.09, Battery: 0.56, Timestamp: 01:01:01.447
[11:07:58.269 AM] Pressure: -46.71,  Volume: 1.09, Battery: 0.56, Timestamp: 01:01:01.555
