Analog output scaling is 0.1 Volts/unit of measurement.
[ 8:36:28.898 AM] Pressure: -106.89,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:49.595
[ 8:36:28.992 AM] Pressure: -106.89,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:49.703
[ 8:36:29.014 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:49.811
[ 8:36:29.103 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:49.919
[ 8:36:29.216 AM] Pressure: -106.89,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:50.026
[ 8:36:29.311 AM] Pressure: -106.95,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:50.134
[ 8:36:29.403 AM] Pressure: -107.01,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:50.242
[ 8:36:29.528 AM] Pressure: -107.01,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:50.349
[ 8:36:29.630 AM] Pressure: -107.07,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:50.457
[ 8:36:29.745 AM] Pressure: -107.07,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:50.565
[ 8:36:29.847 AM] Pressure: -107.07,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:50.673
[ 8:36:29.949 AM] Pressure: -107.07,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:50.781
[ 8:36:30.061 AM] Pressure: -107.01,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:50.889
[ 8:36:30.162 AM] Pressure: -106.95,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:50.997
[ 8:36:30.287 AM] Pressure: -106.89,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:51.103
[ 8:36:30.389 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:51.211
[ 8:36:30.513 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:51.319
[ 8:36:30.604 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:51.427
[ 8:36:30.706 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:51.535
[ 8:36:30.831 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:51.642
[ 8:36:30.932 AM] Pressure: -107.01,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:51.750
[ 8:36:31.034 AM] Pressure: -107.07,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:51.858
[ 8:36:31.157 AM] Pressure: -107.07,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:51.966
[ 8:36:31.249 AM] Pressure: -107.07,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:52.073
[ 8:36:31.372 AM] Pressure: -107.07,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:52.181
[ 8:36:31.475 AM] Pressure: -107.07,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:52.289
[ 8:36:31.588 AM] Pressure: -107.01,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:52.397
[ 8:36:31.688 AM] Pressure: -106.95,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:52.504
[ 8:36:31.790 AM] Pressure: -106.89,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:52.612
[ 8:36:31.913 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:52.720
[ 8:36:32.016 AM] Pressure: -106.78,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:52.828
[ 8:36:32.118 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:52.935
[ 8:36:32.240 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:53.042
[ 8:36:32.343 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:53.150
[ 8:36:32.444 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:53.258
[ 8:36:32.558 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:53.366
[ 8:36:32.659 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:53.473
[ 8:36:32.783 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:53.581
[ 8:36:32.885 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:53.689
[ 8:36:33.000 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:53.797
[ 8:36:33.098 AM] Pressure: -106.78,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:53.905
[ 8:36:33.211 AM] Pressure: -106.72,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:54.012
[ 8:36:33.315 AM] Pressure: -106.72,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:54.119
[ 8:36:33.428 AM] Pressure: -106.66,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:54.227
[ 8:36:33.530 AM] Pressure: -106.60,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:54.335
[ 8:36:33.654 AM] Pressure: -106.60,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:54.442
[ 8:36:33.766 AM] Pressure: -106.60,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:54.560
[ 8:36:33.868 AM] Pressure: -106.72,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:54.669
[ 8:36:33.982 AM] Pressure: -106.72,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:54.776
[ 8:36:34.073 AM] Pressure: -106.72,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:54.884
[ 8:36:34.197 AM] Pressure: -106.78,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:54.992
[ 8:36:34.300 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:55.098
[ 8:36:34.412 AM] Pressure: -106.89,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:55.206
[ 8:36:34.515 AM] Pressure: -106.89,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:55.314
[ 8:36:34.629 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:55.421
[ 8:36:34.732 AM] Pressure: -106.78,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:55.529
[ 8:36:34.853 AM] Pressure: -106.72,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:55.637
[ 8:36:34.943 AM] Pressure: -106.66,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:55.745
[ 8:36:35.065 AM] Pressure: -106.66,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:55.852
[ 8:36:35.178 AM] Pressure: -106.66,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:55.960
[ 8:36:35.279 AM] Pressure: -106.72,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:56.067
[ 8:36:35.392 AM] Pressure: -106.78,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:56.175
[ 8:36:35.494 AM] Pressure: -106.78,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:56.283
[ 8:36:35.597 AM] Pressure: -106.89,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:56.391
[ 8:36:35.709 AM] Pressure: -106.95,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:56.499
[ 8:36:35.831 AM] Pressure: -107.01,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:56.606
[ 8:36:35.934 AM] Pressure: -107.01,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:56.714
[ 8:36:36.047 AM] Pressure: -106.95,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:56.822
[ 8:36:36.149 AM] Pressure: -106.95,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:56.930
[ 8:36:36.262 AM] Pressure: -106.95,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:57.037
[ 8:36:36.364 AM] Pressure: -106.89,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:57.145
[ 8:36:36.477 AM] Pressure: -106.89,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:57.253
[ 8:36:36.579 AM] Pressure: -106.95,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:57.360
[ 8:36:36.693 AM] Pressure: -107.01,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:57.468
[ 8:36:36.793 AM] Pressure: -106.95,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:57.576
[ 8:36:36.917 AM] Pressure: -107.01,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:57.684
[ 8:36:37.009 AM] Pressure: -107.01,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:57.792
[ 8:36:37.113 AM] Pressure: -106.89,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:57.900
[ 8:36:37.238 AM] Pressure: -106.84,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:58.007
[ 8:36:37.339 AM] Pressure: -106.66,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:58.115
[ 8:36:37.452 AM] Pressure: -106.48,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:58.222
[ 8:36:37.553 AM] Pressure: -106.31,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:58.330
[ 8:36:37.677 AM] Pressure: -106.13,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:58.438
[ 8:36:37.779 AM] Pressure: -106.13,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:58.546
[ 8:36:37.880 AM] Pressure: -106.13,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:58.654
[ 8:36:37.993 AM] Pressure: -106.07,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:58.761
[ 8:36:38.094 AM] Pressure: -106.01,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:58.869
[ 8:36:38.218 AM] Pressure: -106.01,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:58.977
[ 8:36:38.321 AM] Pressure: -106.01,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:59.084
[ 8:36:38.413 AM] Pressure: -106.01,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:59.192
[ 8:36:38.537 AM] Pressure: -106.07,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:59.300
[ 8:36:38.638 AM] Pressure: -106.19,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:59.408
[ 8:36:38.751 AM] Pressure: -106.31,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:59.515
[ 8:36:38.853 AM] Pressure: -106.42,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:59.623
[ 8:36:38.976 AM] Pressure: -106.48,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:59.731
[ 8:36:39.066 AM] Pressure: -106.54,  Volume: 1.61, Battery: 0.55, Timestamp: 00:13:59.839
[ 8:36:39.190 AM] Pressure: -106.60,  Volume: 1.60, Battery: 0.56, Timestamp: 00:13:59.956
[ 8:36:39.305 AM] Pressure: -106.60,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:00.063
[ 8:36:39.409 AM] Pressure: -106.60,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:00.171
[ 8:36:39.522 AM] Pressure: -106.54,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:00.279
[ 8:36:39.624 AM] Pressure: -106.48,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:00.387
[ 8:36:39.748 AM] Pressure: -106.36,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:00.495
[ 8:36:39.839 AM] Pressure: -106.31,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:00.602
[ 8:36:39.964 AM] Pressure: -106.31,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:00.710
[ 8:36:40.056 AM] Pressure: -106.31,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:00.818
[ 8:36:40.178 AM] Pressure: -106.31,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:00.925
[ 8:36:40.270 AM] Pressure: -106.31,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:01.032
[ 8:36:40.395 AM] Pressure: -106.48,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:01.140
[ 8:36:40.487 AM] Pressure: -106.48,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:01.248
[ 8:36:40.610 AM] Pressure: -106.48,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:01.356
[ 8:36:40.713 AM] Pressure: -106.48,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:01.464
[ 8:36:40.825 AM] Pressure: -106.54,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:01.572
[ 8:36:40.926 AM] Pressure: -106.54,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:01.679
[ 8:36:41.039 AM] Pressure: -106.54,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:01.787
[ 8:36:41.143 AM] Pressure: -106.60,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:01.895
[ 8:36:41.261 AM] Pressure: -106.60,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:02.001
[ 8:36:41.364 AM] Pressure: -106.60,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:02.109
[ 8:36:41.476 AM] Pressure: -106.60,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:02.217
[ 8:36:41.576 AM] Pressure: -106.66,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:02.325
[ 8:36:41.700 AM] Pressure: -106.66,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:02.433
[ 8:36:41.790 AM] Pressure: -106.60,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:02.540
[ 8:36:41.913 AM] Pressure: -106.60,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:02.648
[ 8:36:42.014 AM] Pressure: -106.54,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:02.756
[ 8:36:42.116 AM] Pressure: -106.48,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:02.864
[ 8:36:42.239 AM] Pressure: -106.42,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:02.971
[ 8:36:42.331 AM] Pressure: -106.36,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:03.078
[ 8:36:42.454 AM] Pressure: -106.36,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:03.186
[ 8:36:42.544 AM] Pressure: -106.36,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:03.294
[ 8:36:42.667 AM] Pressure: -106.36,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:03.402
[ 8:36:42.768 AM] Pressure: -106.48,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:03.509
[ 8:36:42.880 AM] Pressure: -106.60,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:03.617
[ 8:36:42.982 AM] Pressure: -106.60,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:03.725
[ 8:36:43.086 AM] Pressure: -106.72,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:03.833
[ 8:36:43.209 AM] Pressure: -106.72,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:03.941
[ 8:36:43.301 AM] Pressure: -106.78,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:04.048
[ 8:36:43.425 AM] Pressure: -106.78,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:04.155
[ 8:36:43.516 AM] Pressure: -106.78,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:04.264
[ 8:36:43.640 AM] Pressure: -106.72,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:04.371
[ 8:36:43.743 AM] Pressure: -106.72,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:04.479
[ 8:36:43.855 AM] Pressure: -106.66,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:04.587
